CHEMICAL,DISEASE,relación,oración
amoxicillin,pruritus,causa,"After discontinuing amoxicillin due to pruritus, the patient returned one month later with persisting hematuria and dysuria, diagnosed with post-streptococcal glomerulonephritis."
amoxicillin,hematuria,causa,"After discontinuing amoxicillin due to pruritus, the patient returned one month later with persisting hematuria and dysuria, diagnosed with post-streptococcal glomerulonephritis."
amoxicillin,dysuria,causa,"After discontinuing amoxicillin due to pruritus, the patient returned one month later with persisting hematuria and dysuria, diagnosed with post-streptococcal glomerulonephritis."
amoxicillin,post-streptococcal glomerulonephritis,causa,"After discontinuing amoxicillin due to pruritus, the patient returned one month later with persisting hematuria and dysuria, diagnosed with post-streptococcal glomerulonephritis."
steroids,PRS,otro,Prompt recognition and treatment with pulse steroids and plasmapheresis is crucial for PRS resolution.
amoxicillin,otitis,otro,She began taking amoxicillin and clavulanic acid for acute otitis media five days prior.
macrolides,rhinosinusitis,otro,Studies also indicate that macrolides are as effective as corticosteroids in controlling chronic rhinosinusitis.
corticosteroids,rhinosinusitis,otro,Studies also indicate that macrolides are as effective as corticosteroids in controlling chronic rhinosinusitis.
amoxicillin,endocarditis,otro,"BACKGROUND: Guidelines suggest treating fully penicillin-susceptible Enterococcus faecalis strains causing infective endocarditis with amoxicillin combined with gentamicin or ceftriaxone, but clinical evidence to support this practice is limited and monotherapy cohorts were excluded from studies."
gentamicin,endocarditis,otro,"BACKGROUND: Guidelines suggest treating fully penicillin-susceptible Enterococcus faecalis strains causing infective endocarditis with amoxicillin combined with gentamicin or ceftriaxone, but clinical evidence to support this practice is limited and monotherapy cohorts were excluded from studies."
ceftriaxone,endocarditis,otro,"BACKGROUND: Guidelines suggest treating fully penicillin-susceptible Enterococcus faecalis strains causing infective endocarditis with amoxicillin combined with gentamicin or ceftriaxone, but clinical evidence to support this practice is limited and monotherapy cohorts were excluded from studies."
gentamicin,acute kidney injury,comparación,Patient receiving gentamicin were more likely to experience acute kidney injury (64 (50%) versus 11 (28.2%) p = 0.057).
Low-dose gentamicin,acute kidney injury,causa,Low-dose gentamicin regimens were associated with acute kidney injury.
Amoxicillin,pharyngitis,otro,"Amoxicillin, co-amoxiclav, cefuroxime, azithromycin, and ciprofloxacin were the most commonly prescribed antibiotics and were mostly indicated for pharyngitis."
co-amoxiclav,pharyngitis,otro,"Amoxicillin, co-amoxiclav, cefuroxime, azithromycin, and ciprofloxacin were the most commonly prescribed antibiotics and were mostly indicated for pharyngitis."
cefuroxime,pharyngitis,otro,"Amoxicillin, co-amoxiclav, cefuroxime, azithromycin, and ciprofloxacin were the most commonly prescribed antibiotics and were mostly indicated for pharyngitis."
azithromycin,pharyngitis,otro,"Amoxicillin, co-amoxiclav, cefuroxime, azithromycin, and ciprofloxacin were the most commonly prescribed antibiotics and were mostly indicated for pharyngitis."
ciprofloxacin,pharyngitis,otro,"Amoxicillin, co-amoxiclav, cefuroxime, azithromycin, and ciprofloxacin were the most commonly prescribed antibiotics and were mostly indicated for pharyngitis."
cephalosporins,CTX-M-15,otro,The possible interactions of CTX-M-15 with cephalosporins and SHV with carbapenems have been identified by docking analysis.
cephalosporins,carbapenems,otro,The possible interactions of CTX-M-15 with cephalosporins and SHV with carbapenems have been identified by docking analysis.
amoxicillin,rhinosinusitis,otro,Studies have shown that amoxicillin is as effective as amoxicillin-clavulanate as a first-line treatment for acute bacterial rhinosinusitis for those without a beta-lactam allergy.
amoxicillin-clavulanate,rhinosinusitis,otro,Studies have shown that amoxicillin is as effective as amoxicillin-clavulanate as a first-line treatment for acute bacterial rhinosinusitis for those without a beta-lactam allergy.
beta-lactam allergy,rhinosinusitis,otro,Studies have shown that amoxicillin is as effective as amoxicillin-clavulanate as a first-line treatment for acute bacterial rhinosinusitis for those without a beta-lactam allergy.
beta-lactam allergy,non-type I hypersensitivity,efecto_adverso,"For patients with a beta-lactam allergy, appropriate antibiotics include doxycycline or a respiratory fluoroquinolone; clindamycin plus a third-generation cephalosporin is an option for children with non-type I hypersensitivity to beta-lactam antibiotics."
doxycycline,non-type I hypersensitivity,efecto_adverso,"For patients with a beta-lactam allergy, appropriate antibiotics include doxycycline or a respiratory fluoroquinolone; clindamycin plus a third-generation cephalosporin is an option for children with non-type I hypersensitivity to beta-lactam antibiotics."
fluoroquinolone,non-type I hypersensitivity,efecto_adverso,"For patients with a beta-lactam allergy, appropriate antibiotics include doxycycline or a respiratory fluoroquinolone; clindamycin plus a third-generation cephalosporin is an option for children with non-type I hypersensitivity to beta-lactam antibiotics."
clindamycin,non-type I hypersensitivity,efecto_adverso,"For patients with a beta-lactam allergy, appropriate antibiotics include doxycycline or a respiratory fluoroquinolone; clindamycin plus a third-generation cephalosporin is an option for children with non-type I hypersensitivity to beta-lactam antibiotics."
cephalosporin,non-type I hypersensitivity,efecto_adverso,"For patients with a beta-lactam allergy, appropriate antibiotics include doxycycline or a respiratory fluoroquinolone; clindamycin plus a third-generation cephalosporin is an option for children with non-type I hypersensitivity to beta-lactam antibiotics."
beta-lactam,non-type I hypersensitivity,efecto_adverso,"For patients with a beta-lactam allergy, appropriate antibiotics include doxycycline or a respiratory fluoroquinolone; clindamycin plus a third-generation cephalosporin is an option for children with non-type I hypersensitivity to beta-lactam antibiotics."
steroids,rhinosinusitis,otro,"Supportive care for rhinosinusitis, including use of saline irrigation, nasal steroids or antihistamines, and decongestants, may help reduce the severity of symptoms."
antihistamines,rhinosinusitis,otro,"Supportive care for rhinosinusitis, including use of saline irrigation, nasal steroids or antihistamines, and decongestants, may help reduce the severity of symptoms."
decongestants,rhinosinusitis,otro,"Supportive care for rhinosinusitis, including use of saline irrigation, nasal steroids or antihistamines, and decongestants, may help reduce the severity of symptoms."
Corynebacterium,methicillin-sensitive Staphylococcus aureus,otro,"Microbiological analysis identified anaerobic streptococci, anaerobic gram-negative bacilli, anaerobic non-spore-forming gram-positive rods, Corynebacterium species, and methicillin-sensitive Staphylococcus aureus (MSSA), with no evidence of Mycobacterium tuberculosis."
Corynebacterium,MSSA,otro,"Microbiological analysis identified anaerobic streptococci, anaerobic gram-negative bacilli, anaerobic non-spore-forming gram-positive rods, Corynebacterium species, and methicillin-sensitive Staphylococcus aureus (MSSA), with no evidence of Mycobacterium tuberculosis."
Corynebacterium,Mycobacterium tuberculosis,otro,"Microbiological analysis identified anaerobic streptococci, anaerobic gram-negative bacilli, anaerobic non-spore-forming gram-positive rods, Corynebacterium species, and methicillin-sensitive Staphylococcus aureus (MSSA), with no evidence of Mycobacterium tuberculosis."
amoxicillin,cancer,comparación,"E. coli showed significant rates of resistance to amoxicillin, cefotaxime, ceftazidime, piperacillin, tetracycline, and ciprofloxacin in cancer patients compared to noncancer patients."
amoxicillin,noncancer,comparación,"E. coli showed significant rates of resistance to amoxicillin, cefotaxime, ceftazidime, piperacillin, tetracycline, and ciprofloxacin in cancer patients compared to noncancer patients."
cefotaxime,cancer,comparación,"E. coli showed significant rates of resistance to amoxicillin, cefotaxime, ceftazidime, piperacillin, tetracycline, and ciprofloxacin in cancer patients compared to noncancer patients."
cefotaxime,noncancer,comparación,"E. coli showed significant rates of resistance to amoxicillin, cefotaxime, ceftazidime, piperacillin, tetracycline, and ciprofloxacin in cancer patients compared to noncancer patients."
ceftazidime,cancer,comparación,"E. coli showed significant rates of resistance to amoxicillin, cefotaxime, ceftazidime, piperacillin, tetracycline, and ciprofloxacin in cancer patients compared to noncancer patients."
ceftazidime,noncancer,comparación,"E. coli showed significant rates of resistance to amoxicillin, cefotaxime, ceftazidime, piperacillin, tetracycline, and ciprofloxacin in cancer patients compared to noncancer patients."
piperacillin,cancer,comparación,"E. coli showed significant rates of resistance to amoxicillin, cefotaxime, ceftazidime, piperacillin, tetracycline, and ciprofloxacin in cancer patients compared to noncancer patients."
piperacillin,noncancer,comparación,"E. coli showed significant rates of resistance to amoxicillin, cefotaxime, ceftazidime, piperacillin, tetracycline, and ciprofloxacin in cancer patients compared to noncancer patients."
tetracycline,cancer,comparación,"E. coli showed significant rates of resistance to amoxicillin, cefotaxime, ceftazidime, piperacillin, tetracycline, and ciprofloxacin in cancer patients compared to noncancer patients."
tetracycline,noncancer,comparación,"E. coli showed significant rates of resistance to amoxicillin, cefotaxime, ceftazidime, piperacillin, tetracycline, and ciprofloxacin in cancer patients compared to noncancer patients."
ciprofloxacin,cancer,comparación,"E. coli showed significant rates of resistance to amoxicillin, cefotaxime, ceftazidime, piperacillin, tetracycline, and ciprofloxacin in cancer patients compared to noncancer patients."
ciprofloxacin,noncancer,comparación,"E. coli showed significant rates of resistance to amoxicillin, cefotaxime, ceftazidime, piperacillin, tetracycline, and ciprofloxacin in cancer patients compared to noncancer patients."
amoxicillin,STEC,otro,"Additionally, all the STEC isolates showed multidrug resistance, and were found to be fully resistant against amoxicillin, followed by ampicillin (87.50%) and gentamycin (75%); and were mostly sensitive to aztreonam (81.25%) and meropenem (68.75%)."
ampicillin,STEC,otro,"Additionally, all the STEC isolates showed multidrug resistance, and were found to be fully resistant against amoxicillin, followed by ampicillin (87.50%) and gentamycin (75%); and were mostly sensitive to aztreonam (81.25%) and meropenem (68.75%)."
gentamycin,STEC,otro,"Additionally, all the STEC isolates showed multidrug resistance, and were found to be fully resistant against amoxicillin, followed by ampicillin (87.50%) and gentamycin (75%); and were mostly sensitive to aztreonam (81.25%) and meropenem (68.75%)."
